Units,Discounts,Fixed Costs,Variable Costs,Revenue,month,qtr,Year,region,country,State,ProductType,Product,Source,YearMonth
13,17.93,151.14,119.04,9539.1,December,Qtr 4,2017,AMERICAS,United States,New York,Avocados,Avocado,Peru,2017-12
10,17.93,182.88,989.05,9762.4,September,Qtr 3,2017,AMERICAS,United States,Oklahoma,Avocados,Avocado,Dominican Republic,2017-09
8,45.35,266.83,1144.3,12068.1,January,Qtr 1,2017,AMERICAS,United States,Arkansas,Avocados,Avocado,Peru,2017-01
10,22.34,166.24,656.8,7925.7,April,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Cosmetics,Hair,Peru,2017-04
13,195.08,2952.23,4935.93,37789.5,March,Qtr 1,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Mexico,2017-03
9,11.9,86.17,51.3,4526.4,January,Qtr 1,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-01
10,11.62,91.08,668.05,9539.1,September,Qtr 3,2017,AMERICAS,United States,Oklahoma,Avocados,Avocado,Dominican Republic,2017-09
13,62.56,477.32,1094.21,9514.8,December,Qtr 4,2017,AMERICAS,United States,Nevada,Oils and Butters,Butter,Peru,2017-12
11,57.61,90.03,304.35,9444.4,December,Qtr 4,2017,AMERICAS,United States,Massachusetts,Avocados,Avocado,Dominican Republic Republic,2017-12
7,0,189.6,174.75,9040.3,October,Qtr 4,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Mexico,2017-10
7,0,189.6,749.09,9040.3,October,Qtr 4,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Dominican Republic,2017-10
12,1.04,5.18,33.03,327.2,July,Qtr 3,2017,AMERICAS,United States,Mississippi,Oils and Butters,Oil,Dominican Republic,2017-07
10,0,110.05,668.02,7896.4,April,Qtr 2,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Mexico,2017-04
8,14.41,189.35,872.79,9028.8,October,Qtr 4,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-10
9,41.4,1388.68,92.63,7882,April,Qtr 2,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Mexico,2017-04
10,0,8840.87,635.8,51088.2,June,Qtr 2,2017,AMERICAS,United States,Delaware,Cosmetics,Hair,Peru,2017-06
9,2.48,15.95,14.81,794.9,February,Qtr 1,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Peru,2017-02
9,113.6,95.9,368.18,12101.8,January,Qtr 1,2017,AMERICAS,United States,Mississippi,Oils and Butters,Oil,Mexico,2017-01
11,0,86.28,91.37,9018.9,November,Qtr 4,2017,AMERICAS,United States,Minnesota,Oils and Butters,Oil,Peru,2017-11
4,3.83,4.77,5.28,478.8,August,Qtr 3,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Peru,2017-08
9,8.54,21.6,78.47,2269.6,March,Qtr 1,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Mexico,2017-03
5,0,37.92,290.6,2670,June,Qtr 2,2017,AMERICAS,United States,Michigan,Cosmetics,Hair,Dominican Republic,2017-06
8,25.35,188.89,95.23,9006.4,October,Qtr 4,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Peru,2017-10
12,17.27,123.26,504.52,6142.5,August,Qtr 3,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Mexico,2017-08
10,29.57,69.33,4641.26,7871,April,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Peru,2017-04
7,25.35,94.44,261.15,9518.8,October,Qtr 4,2017,AMERICAS,United States,Oklahoma,Oils and Butters,Butter,Peru,2017-10
9,0,99.71,362.17,5238.2,March,Qtr 1,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-03
9,7.32,16.79,119.19,1044.7,January,Qtr 1,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-01
9,0,10.28,14.72,639.2,January,Qtr 1,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Dominican Republic,2017-01
19,31.02,164.89,113.89,7862,April,Qtr 2,2017,AMERICAS,United States,Florida,Avocados,Avocado,Mexico,2017-04
13,0,328.47,3079.29,33010.7,August,Qtr 3,2017,AMERICAS,United States,New York,Oils and Butters,Oil,Peru,2017-08
12,0,180.99,838.26,9440.2,September,Qtr 3,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Dominican Republic,2017-09
10,25.61,71.48,224.82,6197.5,February,Qtr 1,2017,AMERICAS,United States,Colorado,Oils and Butters,Butter,Dominican Republic,2017-02
9,2.76,129.53,9.06,716.2,February,Qtr 1,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-02
12,2.53,139.77,12.07,888.8,August,Qtr 3,2017,AMERICAS,United States,New York,Avocados,Avocado,Peru,2017-08
18,29.12,207.75,736.35,9396.1,September,Qtr 3,2017,AMERICAS,United States,Maryland,Oils and Butters,Butter,Dominican Republic,2017-09
9,1.97,10.79,34.25,1074.7,March,Qtr 1,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Peru,2017-03
10,38.02,406.32,1791.29,20249.7,June,Qtr 2,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Mexico,2017-06
9,66.05,74.26,336.13,9372.9,September,Qtr 3,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Mexico,2017-09
10,0,52.82,203.04,6664.9,June,Qtr 2,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Peru,2017-06
12,3.66,65.86,150.89,1313.1,February,Qtr 1,2017,AMERICAS,United States,Connecticut,Oils and Butters,Oil,Mexico,2017-02
19,71.41,219.34,612.63,19015.1,February,Qtr 1,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Peru,2017-02
13,42.06,141.85,111.1,8952.1,November,Qtr 4,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Mexico,2017-11
10,0,141.54,694.42,8932.9,October,Qtr 4,2017,AMERICAS,United States,Iowa,Cosmetics,Skin,Dominican Republic,2017-10
8,32.59,70.57,346.22,8908.7,November,Qtr 4,2017,AMERICAS,United States,Maine,Oils and Butters,Oil,Dominican Republic,2017-11
10,0,86.21,327.62,8896.2,October,Qtr 4,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Peru,2017-10
10,0,109.36,663.6,7846.7,May,Qtr 2,2017,AMERICAS,United States,Montana,Avocados,Avocado,Dominican Republic,2017-05
10,0,171.77,653.29,8863.1,October,Qtr 4,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Mexico,2017-10
6,1.88,3.92,25.26,247.8,March,Qtr 1,2017,AMERICAS,United States,Idaho,Cosmetics,Hair,Dominican Republic,2017-03
12,113.32,1134.92,2945.34,23679.3,March,Qtr 1,2017,AMERICAS,United States,Kansas,Cosmetics,Skin,Mexico,2017-03
10,0,43.92,125.9,4378.3,June,Qtr 2,2017,AMERICAS,United States,West Virginia,Oils and Butters,Butter,Peru,2017-06
12,10.92,55.55,176.81,5537,July,Qtr 3,2017,AMERICAS,United States,New Jersey,Oils and Butters,Butter,Dominican Republic,2017-07
24,9.56,44.68,270.74,2992.5,February,Qtr 1,2017,AMERICAS,United States,Massachusetts,Avocados,Avocado,Peru,2017-02
13,1.54,20.18,142.72,1255,January,Qtr 1,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Peru,2017-01
8,26.19,84.02,1011.29,9288.3,December,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-12
9,2.63,14.92,97.11,928.1,January,Qtr 1,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Dominican Republic,2017-01
21,0,109.36,663.6,7846.7,May,Qtr 2,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-05
6,1.6,6.03,26.22,380.8,March,Qtr 1,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Peru,2017-03
4,1.96,50.57,84.54,647.1,February,Qtr 1,2017,AMERICAS,United States,Rhode Island,Oils and Butters,Oil,Peru,2017-02
9,3.64,14.47,61.8,1938.1,March,Qtr 1,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Peru,2017-03
19,49.98,219.34,11027.23,19015.1,February,Qtr 1,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Mexico,2017-02
9,0,112.82,768.07,9929.9,June,Qtr 2,2017,AMERICAS,United States,Arizona,Cosmetics,Hair,Dominican Republic,2017-06
10,0,3.89,5.03,224.7,June,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Peru,2017-06
13,30.49,92.99,296.23,9269.1,December,Qtr 4,2017,AMERICAS,United States,New York,Avocados,Avocado,Dominican Republic,2017-12
10,0,93.97,335.31,10783.3,August,Qtr 3,2017,AMERICAS,United States,Oregon,Oils and Butters,Oil,Peru,2017-08
10,0,14.8,52.76,737.2,June,Qtr 2,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Dominican Republic,2017-06
21,0,1038.91,98.59,7846.7,May,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-05
10,43.94,163.33,753.02,7787.3,April,Qtr 2,2017,AMERICAS,United States,Florida,Avocados,Avocado,Mexico,2017-04
9,32.34,84.12,59.27,5307.7,March,Qtr 1,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Dominican Republic,2017-03
9,7.49,152.94,551.56,7977.1,March,Qtr 1,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Mexico,2017-03
11,21.88,162.61,749.09,7753.6,April,Qtr 2,2017,AMERICAS,United States,Utah,Avocados,Avocado,Dominican Republic,2017-04
10,27.98,96.14,324.69,9921.4,June,Qtr 2,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-06
12,0,102.12,95.58,6169.4,July,Qtr 3,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Dominican Republic,2017-07
9,9.12,185.91,632.7,4980.1,February,Qtr 1,2017,AMERICAS,United States,Virginia,Oils and Butters,Oil,Peru,2017-02
9,0,121.92,159.72,7695.1,April,Qtr 2,2017,AMERICAS,United States,Louisiana,Oils and Butters,Butter,Mexico,2017-04
8,22.82,113.13,347.79,2855.4,January,Qtr 1,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Dominican Republic,2017-01
9,28.32,146.86,941.37,9266.4,March,Qtr 1,2017,AMERICAS,United States,Wisconsin,Oils and Butters,Oil,Peru,2017-03
9,13.29,1596.37,103.17,8326.8,March,Qtr 1,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Mexico,2017-03
13,10.52,22.39,75.91,2231,January,Qtr 1,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Peru,2017-01
9,6.48,45.93,43.51,2289,February,Qtr 1,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Peru,2017-02
12,2.17,15.41,55.55,1535,July,Qtr 3,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Dominican Republic,2017-07
10,0,304.81,957.31,7695.1,April,Qtr 2,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Peru,2017-04
9,1.41,13.54,9.06,711.4,March,Qtr 1,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Mexico,2017-03
13,7.79,20.83,66.65,2076.5,January,Qtr 1,2017,AMERICAS,United States,Arizona,Oils and Butters,Oil,Dominican Republic,2017-01
10,0,171.12,867.8,8830.1,October,Qtr 4,2017,AMERICAS,United States,Arizona,Cosmetics,Hair,Mexico,2017-10
13,0,88.38,5065.57,8808.1,November,Qtr 4,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Peru,2017-11
10,0,83.75,818.31,8753.4,October,Qtr 4,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Peru,2017-10
10,0,304.81,957.31,7695.1,May,Qtr 2,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Mexico,2017-05
13,45.65,161.25,1176.13,32412.6,August,Qtr 3,2017,AMERICAS,United States,Arizona,Cosmetics,Hair,Peru,2017-08
9,47.3,443.58,1079.39,9155.1,September,Qtr 3,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-09
9,3.15,44.86,161.08,2235.5,March,Qtr 1,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Dominican Republic,2017-03
12,64.81,1094.98,2863.1,23009.1,February,Qtr 1,2017,AMERICAS,United States,Michigan,Cosmetics,Skin,Peru,2017-02
12,16,82.55,313.97,8519.2,February,Qtr 1,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Peru,2017-02
6,0,87.49,854.86,9144,December,Qtr 4,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-12
10,21.41,147.41,640.61,9431.9,May,Qtr 2,2017,AMERICAS,United States,Oklahoma,Cosmetics,Skin,Peru,2017-05
10,18.78,79.25,435.22,5000.3,July,Qtr 3,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Mexico,2017-07
10,0,119.27,654.77,7525.9,April,Qtr 2,2017,AMERICAS,United States,Washington,Oils and Butters,Oil,Dominican Republic,2017-04
6,41.03,794.58,103.56,8741.8,November,Qtr 4,2017,AMERICAS,United States,Indiana,Cosmetics,Hair,Dominican Republic,2017-11
19,15.68,31.15,132.43,4171.7,February,Qtr 1,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Peru,2017-02
10,27.98,51.91,258.97,7449.4,May,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Mexico,2017-05
7,0,191.02,880.65,9108,September,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Dominican Republic,2017-09
10,0,1491.58,85.17,7433.5,May,Qtr 2,2017,AMERICAS,United States,Massachusetts,Oils and Butters,Butter,Mexico,2017-05
9,31.86,64.99,345.78,8704,February,Qtr 1,2017,AMERICAS,United States,Kansas,Oils and Butters,Butter,Peru,2017-02
13,16.24,68.33,267.85,8626.7,November,Qtr 4,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Mexico,2017-11
12,2.07,10.5,39.81,523.6,February,Qtr 1,2017,AMERICAS,United States,Wyoming,Cosmetics,Skin,Mexico,2017-02
10,0,161.69,112.32,7008.8,January,Qtr 1,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Peru,2017-01
8,16.24,136.69,107.14,8626.7,October,Qtr 4,2017,AMERICAS,United States,Oregon,Oils and Butters,Oil,Peru,2017-10
13,16.24,1298.49,113.09,8626.7,November,Qtr 4,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Peru,2017-11
13,60.44,1183.26,494.54,37865.2,February,Qtr 1,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-02
8,0,191.02,96.22,9108,September,Qtr 3,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Dominican Republic,2017-09
6,85.25,86.93,850.8,9086.9,December,Qtr 4,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Mexico,2017-12
20,10.53,48.47,33.46,2192.4,March,Qtr 1,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-03
9,44.3,175.84,892.18,9073.1,September,Qtr 3,2017,AMERICAS,United States,North Carolina,Oils and Butters,Oil,Peru,2017-09
10,64.03,982.64,2173.94,17037.7,January,Qtr 1,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Mexico,2017-01
10,24.22,136.03,889.86,8585.2,October,Qtr 4,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-10
6,55.58,1029.9,88.28,7389.8,May,Qtr 2,2017,AMERICAS,United States,Missouri,Cosmetics,Hair,Peru,2017-05
12,0,143.13,785.92,9031.1,September,Qtr 3,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-09
9,54.93,428.39,1647.84,45009.4,March,Qtr 1,2017,AMERICAS,United States,New Hampshire,Oils and Butters,Oil,Dominican Republic,2017-03
21,0,443.11,306.31,21127.8,June,Qtr 2,2017,AMERICAS,United States,South Carolina,Oils and Butters,Oil,Mexico,2017-06
10,0,73.64,211.06,7340.1,April,Qtr 2,2017,AMERICAS,United States,Arkansas,Oils and Butters,Oil,Dominican Republic,2017-04
10,0,135.98,821.4,8582,October,Qtr 4,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Peru,2017-10
10,0,116.26,608.11,7337.8,May,Qtr 2,2017,AMERICAS,United States,North Dakota,Oils and Butters,Oil,Dominican Republic,2017-05
4,2.07,10.11,26.42,323.5,February,Qtr 1,2017,AMERICAS,United States,Louisiana,Oils and Butters,Oil,Peru,2017-02
12,169.98,399.65,300.8,24144,August,Qtr 3,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Dominican Republic,2017-08
8,25.59,2544.88,153.53,12115.7,March,Qtr 1,2017,AMERICAS,United States,Iowa,Cosmetics,Skin,Dominican Republic,2017-03
10,0,116.26,760.89,7337.8,May,Qtr 2,2017,AMERICAS,United States,Indiana,Oils and Butters,Butter,Dominican Republic,2017-05
10,0,1291.78,112.1,8582,October,Qtr 4,2017,AMERICAS,United States,Montana,Avocados,Avocado,Mexico,2017-10
10,18.6,818.56,105.59,9005.9,September,Qtr 3,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Dominican Republic,2017-09
9,100.93,203.49,1038.22,35820.8,June,Qtr 2,2017,AMERICAS,United States,Virginia,Cosmetics,Skin,Dominican Republic,2017-06
13,31.37,135.72,745.12,8564.4,November,Qtr 4,2017,AMERICAS,United States,Utah,Avocados,Avocado,Peru,2017-11
13,47.32,180.65,862.78,9003.2,December,Qtr 4,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Dominican Republic,2017-12
13,24.13,643.4,1475.61,12825.9,January,Qtr 1,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Peru,2017-01
10,0,105.19,125.75,6078.8,June,Qtr 2,2017,AMERICAS,United States,Idaho,Oils and Butters,Oil,Dominican Republic,2017-06
10,0,135.47,132.93,8550.1,October,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-10
9,0,6.94,22.21,692.5,January,Qtr 1,2017,AMERICAS,United States,New York,Avocados,Avocado,Dominican Republic,2017-01
21,8.09,97.78,451.45,4422,January,Qtr 1,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-01
12,147.89,791.76,491.19,35809.5,August,Qtr 3,2017,AMERICAS,United States,Washington,Oils and Butters,Oil,Dominican Republic,2017-08
9,41.97,1647.37,111.16,8947.8,January,Qtr 1,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Mexico,2017-01
10,0,58.13,253.96,7337.8,April,Qtr 2,2017,AMERICAS,United States,Oregon,Oils and Butters,Oil,Dominican Republic,2017-04
14,1.87,17.31,74.7,782.5,January,Qtr 1,2017,AMERICAS,United States,Indiana,Cosmetics,Skin,Peru,2017-01
9,27.78,173.98,756.64,8976.9,September,Qtr 3,2017,AMERICAS,United States,Hawaii,Oils and Butters,Oil,Mexico,2017-09
10,0,58.13,253.96,7337.8,May,Qtr 2,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Peru,2017-05
9,2.32,9.3,37.96,463.2,January,Qtr 1,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Peru,2017-01
12,12.62,89.86,322.15,8957.6,September,Qtr 3,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Dominican Republic,2017-09
8,204.48,6420.09,350.37,29036.5,March,Qtr 1,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Dominican Republic,2017-03
10,0,67.74,312.49,8550.1,October,Qtr 4,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Dominican Republic,2017-10
8,0,81.67,160.41,8536.4,October,Qtr 4,2017,AMERICAS,United States,Missouri,Oils and Butters,Oil,Mexico,2017-10
10,24.03,134.97,882.9,8518.2,October,Qtr 4,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Peru,2017-10
10,24.03,134.97,882.9,8518.2,October,Qtr 4,2017,AMERICAS,United States,Florida,Avocados,Avocado,Peru,2017-10
9,2.25,9.59,6.48,478.8,January,Qtr 1,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Dominican Republic,2017-01
10,24.03,67.48,294.63,8518.2,October,Qtr 4,2017,AMERICAS,United States,Arkansas,Avocados,Avocado,Dominican Republic,2017-10
10,13.71,115.73,741.24,7302.7,May,Qtr 2,2017,AMERICAS,United States,Hawaii,Cosmetics,Hair,Peru,2017-05
9,0,99.61,96.18,6285.4,February,Qtr 1,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Peru,2017-02
10,13.71,115.73,635.35,7302.7,May,Qtr 2,2017,AMERICAS,United States,Utah,Oils and Butters,Oil,Peru,2017-05
10,0,152.75,703.93,7283,April,Qtr 2,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Mexico,2017-04
9,14.53,214.43,162.83,11063.7,March,Qtr 1,2017,AMERICAS,United States,Utah,Avocados,Avocado,Peru,2017-03
9,29.31,86.43,5259.45,8919.3,September,Qtr 3,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Peru,2017-09
13,0,367.11,481.86,36894.3,July,Qtr 3,2017,AMERICAS,United States,California,Oils and Butters,Oil,Mexico,2017-07
10,0,85.57,289.6,8830.1,September,Qtr 3,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Peru,2017-09
13,26.24,71.8,205.52,7156.6,January,Qtr 1,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-01
12,83.79,2095.24,140.4,11892.5,July,Qtr 3,2017,AMERICAS,United States,North Dakota,Oils and Butters,Butter,Dominican Republic,2017-07
9,33.05,85.28,305.19,8800.6,September,Qtr 3,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Peru,2017-09
11,39.34,198.59,182.82,13981,June,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Dominican Republic,2017-06
10,0,57.62,276.88,7270.8,May,Qtr 2,2017,AMERICAS,United States,New Mexico,Avocados,Avocado,Dominican Republic,2017-05
8,16.57,133.25,569.29,8407.3,November,Qtr 4,2017,AMERICAS,United States,Rhode Island,Cosmetics,Skin,Dominican Republic,2017-11
24,73.98,267.44,1337.51,35820.8,March,Qtr 1,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Dominican Republic,2017-03
10,0,115.23,553.75,7270.8,April,Qtr 2,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-04
8,10.25,133.07,730.54,8395.7,October,Qtr 4,2017,AMERICAS,United States,Rhode Island,Cosmetics,Skin,Peru,2017-10
12,0,115.23,632.43,7270.8,May,Qtr 2,2017,AMERICAS,United States,Massachusetts,Avocados,Avocado,Peru,2017-05
10,0,288.07,885.99,7270.8,May,Qtr 2,2017,AMERICAS,United States,Ohio,Oils and Butters,Butter,Peru,2017-05
10,0,80.29,785.82,8391.7,October,Qtr 4,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Mexico,2017-10
12,12.95,36.44,174.87,4597.2,July,Qtr 3,2017,AMERICAS,United States,Ohio,Oils and Butters,Oil,Dominican Republic,2017-07
22,18.4,86.49,286.3,3911.9,August,Qtr 3,2017,AMERICAS,United States,New Mexico,Avocados,Avocado,Peru,2017-08
10,47.69,201.18,1316.42,12697.5,June,Qtr 2,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Dominican Republic,2017-06
10,0,82.57,380.94,10422.8,July,Qtr 3,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Peru,2017-07
10,0,115.23,110.74,7270.8,May,Qtr 2,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Mexico,2017-05
13,19.62,132.49,104.16,8361.2,November,Qtr 4,2017,AMERICAS,United States,Louisiana,Cosmetics,Hair,Peru,2017-11
10,0,856.35,643.85,51734.9,August,Qtr 3,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Mexico,2017-08
8,0,78.74,669.2,6929,July,Qtr 3,2017,AMERICAS,United States,Louisiana,Oils and Butters,Oil,Dominican Republic,2017-07
12,0,565.19,3035.13,9006.4,July,Qtr 3,2017,AMERICAS,United States,Oklahoma,Avocados,Avocado,Mexico,2017-07
8,40.06,404.68,984.81,8352.5,October,Qtr 4,2017,AMERICAS,United States,Iowa,Cosmetics,Hair,Dominican Republic,2017-10
9,14.96,234.78,1088.26,12246.3,March,Qtr 1,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Dominican Republic,2017-03
21,14.59,83.06,648.02,7767.3,August,Qtr 3,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Peru,2017-08
13,15.64,1253.56,109.12,8328.1,November,Qtr 4,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-11
12,37.04,176,560.06,8771.5,September,Qtr 3,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-09
12,38.21,161.35,211.3,10183.6,July,Qtr 3,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Peru,2017-07
9,11.97,21.08,1792.17,8830.1,February,Qtr 1,2017,AMERICAS,United States,Oklahoma,Cosmetics,Hair,Peru,2017-02
4,6.35,20.62,122.41,1301.1,August,Qtr 3,2017,AMERICAS,United States,California,Oils and Butters,Oil,Dominican Republic,2017-08
10,0,115.23,590.66,7270.8,May,Qtr 2,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Dominican Republic,2017-05
12,24.79,116.07,7769.25,13175.6,July,Qtr 3,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Mexico,2017-07
33,46.57,79.18,773.64,8275.9,November,Qtr 4,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Dominican Republic,2017-11
8,23.3,132.48,697.17,8271.8,November,Qtr 4,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Dominican Republic,2017-11
12,0,115.23,738.32,7270.8,April,Qtr 2,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Dominican Republic,2017-04
8,19.79,82.98,263.83,8269.9,November,Qtr 4,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-11
12,39.71,248.21,1384.58,14089.1,August,Qtr 3,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Dominican Republic,2017-08
10,0,1094.67,93.26,7270.8,May,Qtr 2,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Dominican Republic,2017-05
8,0,132.21,88.73,8254.6,November,Qtr 4,2017,AMERICAS,United States,Rhode Island,Cosmetics,Skin,Peru,2017-11
10,0,115.23,590.66,7270.8,May,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Dominican Republic,2017-05
21,20.86,63.12,321.35,11110.3,June,Qtr 2,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Peru,2017-06
9,24.45,330.52,196.17,17363.5,February,Qtr 1,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Dominican Republic,2017-02
9,32.1,169.98,93.6,8771.2,September,Qtr 3,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Mexico,2017-09
12,107.89,279.89,1502.98,16909.9,August,Qtr 3,2017,AMERICAS,United States,New Mexico,Avocados,Avocado,Dominican Republic,2017-08
12,0,115.23,88.4,7270.8,April,Qtr 2,2017,AMERICAS,United States,Connecticut,Oils and Butters,Oil,Dominican Republic,2017-04
9,47.13,79.53,381.79,10035,February,Qtr 1,2017,AMERICAS,United States,Montana,Oils and Butters,Oil,Mexico,2017-02
9,34.63,114.49,691.45,7226.1,April,Qtr 2,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-04
8,12.7,158.98,644.51,8203,October,Qtr 4,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Peru,2017-10
12,20.28,114.02,547.9,7194.3,April,Qtr 2,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Dominican Republic,2017-04
9,57.07,525.98,344.05,27631.6,February,Qtr 1,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Peru,2017-02
